Title,File,Exists in Directory,Exists in XML
Boogie Nights,Boogie Nights (1997).mkv,Yes,Yes
Book Club,Book Club (2018).mp4,Yes,Yes
Book Club: The Next Chapter,Book Club- The Next Chapter (2023).mp4,Yes,Yes
The Book of Eli,The Book of Eli (2010).mp4,Yes,Yes
The Book of Vision,The Book of Vision (2021).mp4,Yes,Yes
The Book Thief,The Book Thief (2013).mp4,Yes,Yes
Boomerang,Boomerang (1992).mp4,Yes,Yes
The Boondock Saints,The Boondock Saints (1999).mp4,Yes,Yes
Boot Camp,Boot Camp (2024).mp4,Yes,Yes
Booty Call,Booty Call (1997).mp4,Yes,Yes
Borat,Borat (2006).mp4,Yes,Yes
Borderlands,Borderlands (2024).mp4,Yes,Yes
Born Free,Born Free (1966).mp4,Yes,Yes
Born on the Fourth of July,Born on the Fourth of July (1989).mp4,Yes,Yes
Boss Level,Boss Level (2021).mp4,Yes,Yes
Boston Strangler,Boston Strangler (2023).mp4,Yes,Yes
Bound,Bound (1996).mp4,Yes,Yes
The Bounty Hunter,The Bounty Hunter (1954).mkv,Yes,Yes
The Bourne Identity,The Bourne Identity (2002).mp4,Yes,Yes
The Bourne Legacy,The Bourne Legacy (2012 ).mp4,Yes,Yes
The Bourne Supremacy,The Bourne Supremacy (2004).mp4,Yes,Yes
The Bourne Ultimatum,The Bourne Ultimatum 2007).mp4,Yes,Yes
The Boy Who Could Fly,The Boy Who Could Fly (1986 ).mp4,Yes,Yes
"The Boy, the Mole, the Fox and the Horse",The Boy The Mole The Fox And The Horse (2022 ).mp4,Yes,Yes
Boys Don't Cry,Boys Dont Cry (1999).mp4,Yes,Yes
The Boys from Brazil,The Boys From Brazil (1978).mp4,Yes,Yes
The Boys in Company C,The Boys in Company C).mp4,Yes,Yes
The Boys in the Boat,The Boys In The Boat (2023)).mp4,Yes,Yes
The Boys Next Door,The Boys Next Door (1985).mp4,Yes,Yes
Boyz n the Hood,Boyz n the Hood (1991).mp4,Yes,Yes
Branded,Branded (2012 ).mp4,Yes,Yes
Brats,Brats (2024).mp4,Yes,Yes
The Brave,The Brave (1997).mp4,Yes,Yes
Brave,Brave (2012).mp4,Yes,Yes
The Brave Little Toaster,The Brave Little Toaster (1987).mp4,Yes,Yes
Brave New World,Brave New World (1998).avi,Yes,Yes
The Brave One,The Brave One 2007).mp4,Yes,Yes
Braveheart,Braveheart (1995).mp4,Yes,Yes
Brazil,Brazil (1985).mp4,Yes,Yes
Breakdown,Breakdown (1997).mp4,Yes,Yes
Breakfast at Tiffany's,Breakfast At Tiffanys (1961).mp4,Yes,Yes
Breakin',Breakin' (1984).mp4,Yes,Yes
